symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,cond8,bars,tv_median20,distance_to_52w_high,met_count,close,volume,date,rs_score,rs_benchmark,recommended_rs_pass,recommended_distance_to_high_pass,met_count_fin,rs_score_fin,provider_symbol,fin_met_count,fetch_status,unavailable_reason,has_error,rs_percentile,fin_percentile,total_percentile,total_met_count
CRGY,True,True,True,True,True,True,True,True,330,92554714.57648277,0.09201147456546599,7,12.729999542236328,6299300.0,2026-04-24,89.03,SPY,True,True,7,89.03,CRGY,7,complete,,False,72.76916631755341,97.33975701717638,170.1089233347298,14
MRX,True,True,True,True,True,True,True,True,330,65308017.14286804,0.01730877187975266,7,52.79999923706055,767900.0,2026-04-24,88.16,SPY,True,True,7,88.16,MRX,7,complete,,False,70.50691244239631,97.33975701717638,167.8466694595727,14
MSGE,True,True,True,True,True,True,True,True,330,15987015.419006348,0.027582025633408613,7,63.459999084472656,435100.0,2026-04-24,87.88,SPY,True,True,7,87.88,MSGE,7,complete,,False,69.75282781734394,97.33975701717638,167.09258483452032,14
STK,True,True,True,True,True,True,True,True,330,2095658.4259033203,0.009210772922181865,7,47.33000183105469,55400.0,2026-04-24,87.43,SPY,True,True,7,87.43,STK,7,complete,,False,68.5798072894847,97.33975701717638,165.91956430666107,14
BHP,True,True,True,True,True,True,True,True,330,207231095.59631348,0.04085558130264799,7,79.81999969482422,1632500.0,2026-04-24,87.17,SPY,True,True,7,87.17,BHP,7,complete,,False,67.9932970255551,97.33975701717638,165.33305404273148,14
AEF,True,True,True,True,True,True,True,True,330,1208617.4791812897,0.026939655947593177,7,9.029999732971191,131900.0,2026-04-24,87.08,SPY,True,True,7,87.08,AEF,7,complete,,False,67.74193548387096,97.33975701717638,165.08169250104734,14
QIPT,True,True,True,True,True,True,True,True,330,726935.6203314066,0.0,7,3.650000095367432,0.0,2026-03-23,86.7,SPY,True,True,7,86.7,QIPT,7,complete,,False,66.65270213657311,97.33975701717638,163.9924591537495,14
RIO,True,True,True,True,True,True,True,True,330,239719801.0597229,0.01891064899073769,7,99.61000061035156,1535300.0,2026-04-24,86.43,SPY,True,True,7,86.43,RIO,7,complete,,False,66.0242982823628,97.33975701717638,163.3640552995392,14
CMP,True,True,True,True,True,True,True,True,330,11159954.936027527,0.06777164561475968,7,25.309999465942383,341200.0,2026-04-24,85.73,SPY,True,True,7,85.73,CMP,7,complete,,False,63.971512358609125,97.33975701717638,161.3112693757855,14
GMED,True,True,True,True,True,True,True,True,330,92902159.09194946,0.06439840908316263,7,94.87000274658205,678500.0,2026-04-24,85.02,SPY,True,True,7,85.02,GMED,7,complete,,False,61.8349392542941,97.33975701717638,159.17469627147048,14
VOD,True,True,True,True,True,True,True,True,330,58818995.86677551,0.019447896744231197,7,15.630000114440918,2281500.0,2026-04-24,84.96,SPY,True,True,7,84.96,VOD,7,complete,,False,61.68831168831169,97.33975701717638,159.02806870548807,14
RMT,True,True,True,True,True,True,True,True,330,1332300.4907608032,0.007473870001077021,7,13.279999732971191,98600.0,2026-04-24,84.62,SPY,True,True,7,84.62,RMT,7,complete,,False,60.72475911185589,97.33975701717638,158.06451612903226,14
ZGN,True,True,True,True,True,True,True,True,330,7176631.127977371,0.035483838219299124,7,11.960000038146973,1142400.0,2026-04-24,84.19,SPY,True,True,7,84.19,ZGN,7,complete,,False,59.782153330540424,97.33975701717638,157.1219103477168,14
WT,True,True,True,True,True,True,True,True,330,52236284.465789795,0.1283279957026766,7,16.3700008392334,3391600.0,2026-04-24,83.69,SPY,True,True,7,83.69,WT,7,complete,,False,58.60913280268119,97.33975701717638,155.94888981985758,14
BSTZ,True,True,True,True,True,True,True,True,330,4422004.941082001,0.00595237546159022,7,26.71999931335449,267000.0,2026-04-24,83.45,SPY,True,True,7,83.45,BSTZ,7,complete,,False,57.77126099706745,97.33975701717638,155.11101801424383,14
EMF,True,True,True,True,True,True,True,True,330,606007.001209259,0.037264192787595296,7,20.40999984741211,65000.0,2026-04-24,82.23,SPY,True,True,7,82.23,EMF,7,complete,,False,54.7130289065773,97.33975701717638,152.05278592375367,14
BURL,True,True,True,True,True,True,True,True,330,193763073.588562,0.05706982163284691,7,331.7699890136719,409900.0,2026-04-24,81.09,SPY,True,True,7,81.09,BURL,7,complete,,False,51.780477586929194,97.33975701717638,149.12023460410558,14
JHG,True,True,True,True,True,True,True,True,330,94564017.90828705,0.041108615205954324,7,51.54999923706055,1093000.0,2026-04-24,80.75,SPY,True,True,7,80.75,JHG,7,complete,,False,50.816925010473405,97.33975701717638,148.1566820276498,14
