symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,met_count,close,volume,date,rs_score,rs_benchmark,cond8,met_count_fin,rs_score_fin,provider_symbol,fin_met_count,has_error,rs_percentile,fin_percentile,total_percentile,total_met_count
BWET,True,True,True,True,True,True,True,8,73.0999984741211,105500.0,2026-03-11,98.9,SPY,True,8,98.9,,6,False,95.07575757575758,80.68181818181817,175.75757575757575,14
RGLS,True,True,True,True,True,True,True,8,8.15999984741211,0.0,2025-06-26,98.87,SPY,True,8,98.87,,6,False,94.82323232323232,80.68181818181817,175.5050505050505,14
IPA,True,True,True,True,True,True,True,8,2.569999933242798,2309200.0,2025-08-19,98.8,SPY,True,8,98.8,,6,False,94.6969696969697,80.68181818181817,175.37878787878788,14
FAZ,True,True,True,True,True,True,True,8,51.09000015258789,622600.0,2026-03-11,98.63,SPY,True,8,98.63,,6,False,93.81313131313132,80.68181818181817,174.49494949494948,14
SVT,True,True,True,True,True,True,True,8,46.93999862670898,0.0,2025-07-02,98.57,SPY,True,8,98.57,,6,False,93.56060606060606,80.68181818181817,174.24242424242425,14
BNKD,True,True,True,True,True,True,True,8,59.03900146484375,400.0,2026-03-11,98.36,SPY,True,8,98.36,,6,False,92.42424242424242,80.68181818181817,173.1060606060606,14
MRNY,True,True,True,True,True,True,True,8,20.670000076293945,213000.0,2026-03-11,98.31,SPY,True,8,98.31,,6,False,92.04545454545456,80.68181818181817,172.72727272727272,14
BNDD,True,True,True,True,True,True,True,8,97.56700134277344,200.0,2026-03-11,98.28,SPY,True,8,98.28,,6,False,91.79292929292929,80.68181818181817,172.47474747474746,14
DALN,True,True,True,True,True,True,True,8,14.90999984741211,420800.0,2025-08-19,97.74,SPY,True,8,97.74,,6,False,89.52020202020202,80.68181818181817,170.2020202020202,14
SPXS,True,True,True,True,True,True,True,8,36.81999969482422,17861500.0,2026-03-11,97.7,SPY,True,8,97.7,,6,False,89.39393939393939,80.68181818181817,170.07575757575756,14
RVRC,True,True,True,True,True,True,True,8,1.5,0.0,2026-03-11,97.59,SPY,True,8,97.59,,6,False,88.76262626262627,80.68181818181817,169.44444444444446,14
VICR,True,True,True,True,True,True,True,8,178.8300018310547,539400.0,2026-03-11,97.58,SPY,True,8,97.58,VICR,6,False,88.63636363636364,80.68181818181817,169.3181818181818,14
EVOK,True,True,True,True,True,True,True,8,11.0,0.0,2025-12-17,97.53,SPY,True,8,97.53,,6,False,88.51010101010101,80.68181818181817,169.19191919191917,14
VIGL,True,True,True,True,True,True,True,8,8.050000190734863,0.0,2025-08-05,97.44,SPY,True,8,97.44,,6,False,88.0050505050505,80.68181818181817,168.68686868686868,14
PHLT,True,True,True,True,True,True,True,8,7.610000133514404,1954500.0,2025-08-19,97.29,SPY,True,8,97.29,,6,False,87.24747474747475,80.68181818181817,167.92929292929293,14
AG,True,True,True,True,True,True,True,8,25.709999084472656,17696300.0,2026-03-11,97.25,SPY,True,8,97.25,AG,6,False,86.74242424242425,80.68181818181817,167.42424242424244,14
WEAT,True,True,True,True,True,True,True,8,22.850000381469727,1044300.0,2026-03-11,97.18,SPY,True,8,97.18,,6,False,86.36363636363636,80.68181818181817,167.04545454545453,14
SATX,True,True,True,True,True,True,True,8,2.9600000381469727,0.0,2025-07-02,97.17,SPY,True,8,97.17,,6,False,86.23737373737373,80.68181818181817,166.91919191919192,14
DIST,True,True,True,True,True,True,True,8,28.0,0.0,2025-07-09,97.02,SPY,True,8,97.02,,6,False,85.47979797979798,80.68181818181817,166.16161616161617,14
MGRM,True,True,True,True,True,True,True,8,6.0,1566622.0,2025-10-06,96.51,SPY,True,8,96.51,,6,False,83.08080808080808,80.68181818181817,163.76262626262627,14
FEIM,True,True,True,True,True,True,True,8,55.31999969482422,272700.0,2026-03-11,96.4,SPY,True,8,96.4,FEIM,6,False,82.7020202020202,80.68181818181817,163.38383838383837,14
RNRG,True,True,True,True,True,True,True,8,36.19900131225586,800.0,2026-03-11,96.21,SPY,True,8,96.21,,6,False,81.12373737373737,80.68181818181817,161.80555555555554,14
VRNA,True,True,True,True,True,True,True,8,105.55999755859376,907000.0,2025-08-19,96.21,SPY,True,8,96.21,,6,False,81.12373737373737,80.68181818181817,161.80555555555554,14
SPHR,True,True,True,True,True,True,True,8,113.70999908447266,1006000.0,2026-03-11,96.15,SPY,True,8,96.15,SPHR,6,False,80.68181818181817,80.68181818181817,161.36363636363637,14
RCAT,True,True,True,True,True,True,True,8,16.15999984741211,22205300.0,2026-03-11,95.94,SPY,True,8,95.94,RCAT,6,False,79.29292929292929,80.68181818181817,159.97474747474746,14
NGD,True,True,True,True,True,True,True,8,11.050000190734863,10502600.0,2026-03-11,95.75,SPY,True,8,95.75,NGD,6,False,78.66161616161617,80.68181818181817,159.34343434343435,14
GREEL,True,True,True,True,True,True,True,8,21.75,17400.0,2026-03-11,95.65,SPY,True,8,95.65,,6,False,78.03030303030303,80.68181818181817,158.7121212121212,14
GDMN,True,True,True,True,True,True,True,8,122.63999938964844,35000.0,2026-03-11,95.49,SPY,True,8,95.49,,6,False,76.76767676767676,80.68181818181817,157.44949494949492,14
KROP,True,True,True,True,True,True,True,8,35.400001525878906,1100.0,2026-03-11,95.36,SPY,True,8,95.36,,6,False,75.88383838383838,80.68181818181817,156.56565656565655,14
MGNX,True,True,True,True,True,True,True,8,3.3399999141693115,4052000.0,2026-03-11,95.29,SPY,True,8,95.29,MGNX,6,False,75.12626262626263,80.68181818181817,155.8080808080808,14
ASMG,True,True,True,True,True,True,True,8,35.73099899291992,63400.0,2026-03-11,95.28,SPY,True,8,95.28,,6,False,75.0,80.68181818181817,155.6818181818182,14
FARO,True,True,True,True,True,True,True,8,43.9900016784668,0.0,2025-07-22,95.19,SPY,True,8,95.19,,6,False,74.62121212121212,80.68181818181817,155.3030303030303,14
MKSI,True,True,True,True,True,True,True,8,224.2700042724609,1051000.0,2026-03-11,95.18,SPY,True,8,95.18,MKSI,6,False,74.4949494949495,80.68181818181817,155.17676767676767,14
ICAD,True,True,True,True,True,True,True,8,3.869999885559082,0.0,2025-07-17,95.12,SPY,True,8,95.12,,6,False,73.86363636363636,80.68181818181817,154.54545454545453,14
SLVR,True,True,True,True,True,True,True,8,70.41000366210938,238800.0,2026-03-11,95.11,SPY,True,8,95.11,,6,False,73.73737373737373,80.68181818181817,154.41919191919192,14
DGP,True,True,True,True,True,True,True,8,226.9499969482422,55000.0,2026-03-11,95.07,SPY,True,8,95.07,,6,False,73.35858585858585,80.68181818181817,154.04040404040404,14
SETH,True,True,True,True,True,True,True,8,50.45000076293945,40000.0,2026-03-11,95.06,SPY,True,8,95.06,,6,False,73.23232323232324,80.68181818181817,153.9141414141414,14
PRPO,True,True,True,True,True,True,True,8,27.96999931335449,12600.0,2026-03-11,95.02,SPY,True,8,95.02,PRPO,6,False,73.10606060606061,80.68181818181817,153.78787878787878,14
TSMU,True,True,True,True,True,True,True,8,56.3650016784668,66400.0,2026-03-11,94.87,SPY,True,8,94.87,,6,False,72.22222222222221,80.68181818181817,152.9040404040404,14
SSRM,True,True,True,True,True,True,True,8,30.31999969482422,3209800.0,2026-03-11,94.84,SPY,True,8,94.84,SSRM,6,False,71.96969696969697,80.68181818181817,152.65151515151513,14
QD,True,True,True,True,True,True,True,8,4.840000152587891,854900.0,2025-08-19,94.83,SPY,True,8,94.83,,6,False,71.84343434343434,80.68181818181817,152.5252525252525,14
SILJ,True,True,True,True,True,True,True,8,34.349998474121094,5555200.0,2026-03-11,94.78,SPY,True,8,94.78,,6,False,71.33838383838383,80.68181818181817,152.02020202020202,14
TSMX,True,True,True,True,True,True,True,8,64.08000183105469,699600.0,2026-03-11,94.44,SPY,True,8,94.44,,6,False,68.93939393939394,80.68181818181817,149.62121212121212,14
NRGU,True,True,True,True,True,True,True,8,35.75,176100.0,2026-03-11,94.37,SPY,True,8,94.37,,6,False,68.56060606060606,80.68181818181817,149.24242424242425,14
CFSB,True,True,True,True,True,True,True,8,13.899999618530272,1300.0,2025-08-19,94.36,SPY,True,8,94.36,,6,False,68.43434343434343,80.68181818181817,149.1161616161616,14
THTX,True,True,True,True,True,True,True,8,3.390000104904175,0.0,2026-02-10,94.2,SPY,True,8,94.2,,6,False,67.42424242424242,80.68181818181817,148.1060606060606,14
SIL,True,True,True,True,True,True,True,8,102.5999984741211,1674500.0,2026-03-11,94.19,SPY,True,8,94.19,,6,False,67.2979797979798,80.68181818181817,147.97979797979798,14
DFEN,True,True,True,True,True,True,True,8,84.05000305175781,215600.0,2026-03-11,94.13,SPY,True,8,94.13,,6,False,66.79292929292929,80.68181818181817,147.47474747474746,14
REMX,True,True,True,True,True,True,True,8,96.91999816894533,660300.0,2026-03-11,94.1,SPY,True,8,94.1,,6,False,66.54040404040404,80.68181818181817,147.22222222222223,14
TATT,True,True,True,True,True,True,True,8,57.34000015258789,90500.0,2026-03-11,94.08,SPY,True,8,94.08,TATT,6,False,66.41414141414141,80.68181818181817,147.09595959595958,14
TSMG,True,True,True,True,True,True,True,8,30.768999099731445,87400.0,2026-03-11,93.94,SPY,True,8,93.94,,6,False,65.40404040404042,80.68181818181817,146.0858585858586,14
OILU,True,True,True,True,True,True,True,8,43.619998931884766,273100.0,2026-03-11,93.91,SPY,True,8,93.91,,6,False,65.15151515151516,80.68181818181817,145.83333333333331,14
EWY,True,True,True,True,True,True,True,8,132.85000610351562,25064500.0,2026-03-11,93.85,SPY,True,8,93.85,,6,False,64.77272727272727,80.68181818181817,145.45454545454544,14
GOEX,True,True,True,True,True,True,True,8,94.75,15200.0,2026-03-11,93.69,SPY,True,8,93.69,,6,False,63.63636363636363,80.68181818181817,144.3181818181818,14
RILYZ,True,True,True,True,True,True,True,8,16.299999237060547,19700.0,2026-03-11,93.67,SPY,True,8,93.67,,6,False,63.38383838383839,80.68181818181817,144.06565656565655,14
TALK,True,True,True,True,True,True,True,8,5.170000076293945,5920800.0,2026-03-11,93.66,SPY,True,8,93.66,TALK,6,False,63.25757575757576,80.68181818181817,143.93939393939394,14
VERV,True,True,True,True,True,True,True,8,11.130000114440918,0.0,2025-07-25,93.62,SPY,True,8,93.62,,6,False,62.752525252525245,80.68181818181817,143.43434343434342,14
WTIU,True,True,True,True,True,True,True,8,18.049999237060547,109400.0,2026-03-11,93.58,SPY,True,8,93.58,,6,False,62.24747474747476,80.68181818181817,142.92929292929293,14
SETM,True,True,True,True,True,True,True,8,35.65999984741211,303400.0,2026-03-11,93.55,SPY,True,8,93.55,,6,False,62.121212121212125,80.68181818181817,142.8030303030303,14
COOP,True,True,True,True,True,True,True,8,191.22000122070312,584900.0,2025-08-19,93.52,SPY,True,8,93.52,,6,False,61.994949494949495,80.68181818181817,142.67676767676767,14
TIGO,True,True,True,True,True,True,True,8,71.12000274658203,1309800.0,2026-03-11,93.29,SPY,True,8,93.29,TIGO,6,False,60.60606060606061,80.68181818181817,141.28787878787878,14
CKPT,True,True,True,True,True,True,True,8,4.260000228881836,0.0,2025-05-30,93.22,SPY,True,8,93.22,,6,False,60.1010101010101,80.68181818181817,140.78282828282826,14
GDXJ,True,True,True,True,True,True,True,8,135.36000061035156,4227800.0,2026-03-11,93.21,SPY,True,8,93.21,,6,False,59.97474747474747,80.68181818181817,140.65656565656565,14
FLKR,True,True,True,True,True,True,True,8,43.040000915527344,352100.0,2026-03-11,93.19,SPY,True,8,93.19,,6,False,59.84848484848485,80.68181818181817,140.53030303030303,14
GBUG,True,True,True,True,True,True,True,8,50.91999816894531,67000.0,2026-03-11,93.12,SPY,True,8,93.12,,6,False,59.46969696969697,80.68181818181817,140.15151515151513,14
SGDJ,True,True,True,True,True,True,True,8,100.0999984741211,68000.0,2026-03-11,93.06,SPY,True,8,93.06,,6,False,58.964646464646464,80.68181818181817,139.64646464646464,14
RING,True,True,True,True,True,True,True,8,87.01000213623047,268300.0,2026-03-11,93.02,SPY,True,8,93.02,,6,False,58.58585858585859,80.68181818181817,139.26767676767676,14
KMT,True,True,True,True,True,True,True,8,40.29999923706055,2926300.0,2026-03-11,92.98,SPY,True,8,92.98,KMT,6,False,58.333333333333336,80.68181818181817,139.0151515151515,14
