symbol,cond1,cond2,cond3,cond4,cond5,cond6,cond7,met_count,rs_score,cond8
CALX,True,True,True,True,True,True,True,8,91.16,True
HODL,True,True,True,True,True,True,True,8,91.15,True
CHEF,True,True,True,True,True,True,True,8,91.14,True
BTCW,True,True,True,True,True,True,True,8,91.13,True
EZBC,True,True,True,True,True,True,True,8,91.12,True
SIMO,True,True,True,True,True,True,True,8,91.09,True
BRRR,True,True,True,True,True,True,True,8,91.08,True
BITB,True,True,True,True,True,True,True,8,91.07,True
SATS,True,True,True,True,True,True,True,8,91.06,True
BTCO,True,True,True,True,True,True,True,8,91.04,True
FBTC,True,True,True,True,True,True,True,8,91.02,True
IBIT,True,True,True,True,True,True,True,8,91.0,True
CIEN,True,True,True,True,True,True,True,8,90.99,True
ESE,True,True,True,True,True,True,True,8,90.96,True
BUZZ,True,True,True,True,True,True,True,8,90.95,True
ALAI,True,True,True,True,True,True,True,8,90.92,True
DEFI,True,True,True,True,True,True,True,8,90.91,True
TIGO,True,True,True,True,True,True,True,8,90.9,True
GBTC,True,True,True,True,True,True,True,8,90.86,True
CHAT,True,True,True,True,True,True,True,8,90.84,True
TEL,True,True,True,True,True,True,True,8,90.8,True
BPMC,True,True,True,True,True,True,True,8,90.78,True
SNEX,True,True,True,True,True,True,True,8,90.72,True
U,True,True,True,True,True,True,True,8,90.71,True
BTI,True,True,True,True,True,True,True,8,90.66,True
PUK,True,True,True,True,True,True,True,8,90.61,True
META,True,True,True,True,True,True,True,8,90.54,True
LPLA,True,True,True,True,True,True,True,8,90.5,True
ULS,True,True,True,True,True,True,True,8,90.49,True
ATFV,True,True,True,True,True,True,True,8,90.42,True
ROKU,True,True,True,True,True,True,True,8,90.34,True
OR,True,True,True,True,True,True,True,8,90.33,True
C,True,True,True,True,True,True,True,8,90.32,True
SXT,True,True,True,True,True,True,True,8,90.3,True
RYAAY,True,True,True,True,True,True,True,8,90.27,True
TSM,True,True,True,True,True,True,True,8,90.23,True
CHN,True,True,True,True,True,True,True,8,90.16,True
ECNS,True,True,True,True,True,True,True,8,90.03,True
GAMR,True,True,True,True,True,True,True,8,90.01,True
GEL,True,True,True,True,True,True,True,8,90.0,True
TRMB,True,True,True,True,True,True,True,8,89.96,True
VNM,True,True,True,True,True,True,True,8,89.93,True
METV,True,True,True,True,True,True,True,8,89.86,True
KURE,True,True,True,True,True,True,True,8,89.84,True
HDSN,True,True,True,True,True,True,True,8,89.81,True
OLLI,True,True,True,True,True,True,True,8,89.8,True
TGI,True,True,True,True,True,True,True,8,89.78,True
NG,True,True,True,True,True,True,True,8,89.77,True
AVPT,True,True,True,True,True,True,True,8,89.72,True
ROK,True,True,True,True,True,True,True,8,89.69,True
CNEQ,True,True,True,True,True,True,True,8,89.68,True
BNGE,True,True,True,True,True,True,True,8,89.66,True
WRBY,True,True,True,True,True,True,True,8,89.56,True
WPM,True,True,True,True,True,True,True,8,89.55,True
NTRS,True,True,True,True,True,True,True,8,89.53,True
GENI,True,True,True,True,True,True,True,8,89.47,True
RILYK,True,True,True,True,True,True,True,8,89.45,True
AEM,True,True,True,True,True,True,True,8,89.43,True
ULTA,True,True,True,True,True,True,True,8,89.38,True
CCLDO,True,True,True,True,True,True,True,8,89.34,True
HEI,True,True,True,True,True,True,True,8,89.33,True
NPO,True,True,True,True,True,True,True,8,89.32,True
TRFK,True,True,True,True,True,True,True,8,89.31,True
AWI,True,True,True,True,True,True,True,8,89.3,True
USFD,True,True,True,True,True,True,True,8,89.2,True
FPX,True,True,True,True,True,True,True,8,89.18,True
BHST,True,True,True,True,True,True,True,8,89.17,True
BK,True,True,True,True,True,True,True,8,89.14,True
AZZ,True,True,True,True,True,True,True,8,89.06,True
