symbol,has_image,vcp_detected,vcp_confidence,cup_handle_detected,cup_handle_confidence,detection_date,error
PSIX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
OCG,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
AMPX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SRFM,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
LEU,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
XTKG,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
DVS,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ALNT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
RKLB,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CDTX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CVAC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CTEV,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
GROY,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
TG,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SNPX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
TAOX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BWFG,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
YYGH,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
HOOD,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
C,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
HSAI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
VRNA,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
U,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
WF,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PLYA,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SOGP,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
USAS,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
HWM,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
IONQ,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PRPO,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
FENC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
REVG,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
VVOS,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SATX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
UI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
DIST,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CRDO,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
AL,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
OKYO,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
GRNQ,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
MATH,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ALLT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
RAYA,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
MP,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SGHC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
RSI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ASTS,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ITRN,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PGY,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
TVRD,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SOFI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ATYR,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PPIH,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
VHC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
AVAL,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
FULC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
THTX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PJT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PMEC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
VIOT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CDE,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
TMQ,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ROKU,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SNES,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
RBLX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BTCL,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BTFX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
CYD,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ATHE,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BITU,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
FARO,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
UUU,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
THM,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BLDE,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ATAI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
URBN,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PLBY,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SNT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SBSW,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
OSS,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
COIN,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
MSTR,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
HTZ,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
INDV,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
GEV,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
WLDN,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
PVLA,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
LMB,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ACHR,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
NXT,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BITX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
RMNI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SEI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SLSR,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
TCI,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
JOBY,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
QD,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
EVEX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
AHR,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
FPH,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
ESP,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SRRK,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
BOSC,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
EPRX,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
SAH,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
KOPN,False,False,0.0,False,0.0,2025-07-15,Data fetch failed
