symbol,data_available,image_generated,vcp_detected,vcp_confidence,vcp_confidence_level,vcp_dimensional_scores,cup_handle_detected,cup_handle_confidence,cup_handle_confidence_level,cup_handle_dimensional_scores,processing_date
TOYO,True,True,True,0.665,Medium,"{'technical_quality': np.float64(0.8481760341185509), 'volume_confirmation': np.float64(0.15288788221970556), 'temporal_validity': 0.9, 'market_context': 1.0}",True,0.7,Medium,"{'technical_quality': 0.55, 'volume_confirmation': 0.6, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:22:45
SPRX,True,True,True,0.616,Medium,"{'technical_quality': np.float64(0.5714038854786558), 'volume_confirmation': np.float64(0.29139656097563904), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.7,Medium,"{'technical_quality': 0.7, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 1.0}",2025-08-01 23:22:46
FNGG,True,True,False,0.0,None,"{'technical_quality': 0.0, 'volume_confirmation': 0.0, 'temporal_validity': 0.0, 'market_context': 0.0}",True,0.68,Medium,"{'technical_quality': 0.7, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.8}",2025-08-01 23:22:46
PSIL,True,True,False,0.427,Low,"{'technical_quality': np.float64(0.34367640157283025), 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 0.8999999999999999}",True,0.81,High,"{'technical_quality': 0.55, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 0.8999999999999999}",2025-08-01 23:22:47
BWEB,True,True,False,0.412,Low,"{'technical_quality': np.float64(0.30537556965863505), 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 0.9}",True,0.73,Medium,"{'technical_quality': 0.8, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.9}",2025-08-01 23:22:47
EVLV,True,True,False,0.547,Low,"{'technical_quality': np.float64(0.3235084967625905), 'volume_confirmation': np.float64(0.4245030000058845), 'temporal_validity': 1.0, 'market_context': 0.8999999999999999}",True,0.61,Medium,"{'technical_quality': 0.8, 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 0.8999999999999999}",2025-08-01 23:22:47
HODL,True,True,False,0.543,Low,"{'technical_quality': np.float64(0.6438205768043623), 'volume_confirmation': np.float64(0.01834842269826602), 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",True,0.78,Medium,"{'technical_quality': 0.8, 'volume_confirmation': 0.6000000000000001, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",2025-08-01 23:22:48
BTCW,True,True,True,0.756,Medium,"{'technical_quality': np.float64(0.791206577699246), 'volume_confirmation': np.float64(0.5309837466287988), 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",True,0.9,High,"{'technical_quality': 0.8, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",2025-08-01 23:22:48
EZBC,True,True,True,0.691,Medium,"{'technical_quality': np.float64(0.9022016045187436), 'volume_confirmation': np.float64(0.16550859262955087), 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",True,0.9,High,"{'technical_quality': 0.8, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",2025-08-01 23:22:49
BRRR,True,True,False,0.52,Low,"{'technical_quality': np.float64(0.5993767469155782), 'volume_confirmation': 0.0, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",True,0.9,High,"{'technical_quality': 0.8, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",2025-08-01 23:22:49
BITB,True,True,True,0.708,Medium,"{'technical_quality': np.float64(0.9822714927033078), 'volume_confirmation': np.float64(0.11800162768029616), 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",True,0.84,High,"{'technical_quality': 0.8, 'volume_confirmation': 0.8, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",2025-08-01 23:22:50
BTCO,True,True,True,0.737,Medium,"{'technical_quality': np.float64(0.7912921463422953), 'volume_confirmation': np.float64(0.46905120545257484), 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",True,0.9,High,"{'technical_quality': 0.8, 'volume_confirmation': 1.0, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",2025-08-01 23:22:50
ATRO,True,True,True,0.659,Medium,"{'technical_quality': np.float64(0.504347692078916), 'volume_confirmation': np.float64(0.5233749842910558), 'temporal_validity': 1.0, 'market_context': 1.0}",True,0.72,Medium,"{'technical_quality': 0.8, 'volume_confirmation': 0.4, 'temporal_validity': 0.9000000000000001, 'market_context': 1.0}",2025-08-01 23:22:51
FBTC,True,True,True,0.677,Medium,"{'technical_quality': np.float64(0.8986942616854088), 'volume_confirmation': np.float64(0.12611908155158594), 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",True,0.72,Medium,"{'technical_quality': 0.8, 'volume_confirmation': 0.4, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",2025-08-01 23:22:51
IBIT,True,True,True,0.734,Medium,"{'technical_quality': np.float64(0.9022306428267975), 'volume_confirmation': np.float64(0.3104087200400375), 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",True,0.78,Medium,"{'technical_quality': 0.8, 'volume_confirmation': 0.6000000000000001, 'temporal_validity': 1.0, 'market_context': 0.7999999999999999}",2025-08-01 23:22:51
