as_of_ts,symbol,market,market_code,setup_family,candidate_stage,priority_tier,stock_grade,setup_grade,a_pp_score,setup_score,score,final_priority_score,regime_state,market_alias,market_alignment_score,breadth_support_score,rotation_support_score,leader_health_score,reason_codes,fail_codes,data_flags,data_confidence_score,pivot_price,stop_price,risk_unit_pct,entry_timeframe,suggested_entry,suggested_stop,current_price,volume_ratio,adr,vcp_pattern,breakout_level,stop_loss,risk_reward_ratio,passed,scores,execution,metrics
2026-04-22,BTSG,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,A+,2-star,83.13,79.54,79.54,81.49,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'TOP_RS_6M', 'NEAR_52W_HIGH', 'TIGHT_BASE', 'HIGHER_LOWS', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE']",[],"['HAS_DAILY', 'NO_INTRADAY', 'HAS_SECTOR_MAPPING', 'HAS_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA']",55.0,48.54,46.93,3.31,5m_ORH,48.54,46.93,47.17,0.7,3.4,True,48.54,46.93,3.02,True,"{'a_pp_score': 83.13, 'setup_score': 79.54, 'final_priority_score': 81.49, 'data_confidence_score': 55.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 48.54, 'stop_price': 46.93, 'risk_unit_pct': 3.31}","{'prior_run_pct': 0.3, 'base_length': 15.0, 'compression_score': 96.38, 'readiness_score': 79.5, 'intraday_confirmation_score': 40.7, 'execution_quality_score': 73.7, 'pivot_distance_pct': -2.82, 'high_52w_proximity': 0.97}"
2026-04-22,CHPY,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,A+,2-star,77.74,79.42,79.42,78.78,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'NEAR_52W_HIGH', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE', 'VOLUME_CONFIRMATION']",[],"['HAS_DAILY', 'NO_INTRADAY', 'NO_SECTOR_MAPPING', 'NO_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA', 'NEEDS_REVIEW']",30.0,66.17,64.75,2.14,5m_ORH,66.17,64.75,66.1,1.22,2.14,False,66.17,64.75,4.68,True,"{'a_pp_score': 77.74, 'setup_score': 79.42, 'final_priority_score': 78.78, 'data_confidence_score': 30.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 66.17, 'stop_price': 64.75, 'risk_unit_pct': 2.14}","{'prior_run_pct': 0.26, 'base_length': 15.0, 'compression_score': 77.35, 'readiness_score': 80.0, 'intraday_confirmation_score': 81.74, 'execution_quality_score': 85.46, 'pivot_distance_pct': -0.1, 'high_52w_proximity': 1.0}"
2026-04-22,LIT,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,A+,2-star,82.6,79.09,79.09,78.82,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'TOP_RS_6M', 'NEAR_52W_HIGH', 'TIGHT_BASE', 'HIGHER_LOWS', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE']",[],"['HAS_DAILY', 'NO_INTRADAY', 'NO_SECTOR_MAPPING', 'NO_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA', 'NEEDS_REVIEW']",30.0,85.03,83.39,1.93,5m_ORH,85.03,83.39,84.77,1.1,1.93,True,85.03,83.39,5.18,True,"{'a_pp_score': 82.6, 'setup_score': 79.09, 'final_priority_score': 78.82, 'data_confidence_score': 30.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 85.03, 'stop_price': 83.39, 'risk_unit_pct': 1.93}","{'prior_run_pct': 0.27, 'base_length': 15.0, 'compression_score': 84.84, 'readiness_score': 75.96, 'intraday_confirmation_score': 62.7, 'execution_quality_score': 74.92, 'pivot_distance_pct': -0.31, 'high_52w_proximity': 1.0}"
2026-04-22,PRIM,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,A+,2-star,75.96,78.97,78.97,80.07,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'TOP_RS_6M', 'NEAR_52W_HIGH', 'TIGHT_BASE', 'HIGHER_LOWS', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE']",[],"['HAS_DAILY', 'NO_INTRADAY', 'HAS_SECTOR_MAPPING', 'HAS_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA']",55.0,171.95,164.59,4.28,5m_ORH,171.95,164.59,171.63,1.01,4.29,True,171.95,164.59,2.34,True,"{'a_pp_score': 75.96, 'setup_score': 78.97, 'final_priority_score': 80.07, 'data_confidence_score': 55.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 171.95, 'stop_price': 164.59, 'risk_unit_pct': 4.28}","{'prior_run_pct': 0.38, 'base_length': 15.0, 'compression_score': 90.6, 'readiness_score': 79.47, 'intraday_confirmation_score': 60.95, 'execution_quality_score': 79.36, 'pivot_distance_pct': -0.19, 'high_52w_proximity': 0.98}"
2026-04-22,IGM,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,A+,2-star,78.84,78.52,78.52,79.53,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'NEAR_52W_HIGH', 'TIGHT_BASE', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE']",[],"['HAS_DAILY', 'NO_INTRADAY', 'NO_SECTOR_MAPPING', 'HAS_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA', 'NEEDS_REVIEW']",45.0,141.57,139.02,1.8,5m_ORH,141.57,139.02,141.43,0.93,1.8,False,141.57,139.02,5.55,True,"{'a_pp_score': 78.84, 'setup_score': 78.52, 'final_priority_score': 79.53, 'data_confidence_score': 45.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 141.57, 'stop_price': 139.02, 'risk_unit_pct': 1.8}","{'prior_run_pct': 0.25, 'base_length': 15.0, 'compression_score': 79.82, 'readiness_score': 90.97, 'intraday_confirmation_score': 54.78, 'execution_quality_score': 78.37, 'pivot_distance_pct': -0.1, 'high_52w_proximity': 1.0}"
2026-04-22,FTEC,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,A+,2-star,77.56,78.11,78.11,77.45,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'NEAR_52W_HIGH', 'TIGHT_BASE', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE']",[],"['HAS_DAILY', 'NO_INTRADAY', 'NO_SECTOR_MAPPING', 'NO_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA', 'NEEDS_REVIEW']",30.0,246.12,241.67,1.81,5m_ORH,246.12,241.67,245.86,0.89,1.81,False,246.12,241.67,5.53,True,"{'a_pp_score': 77.56, 'setup_score': 78.11, 'final_priority_score': 77.45, 'data_confidence_score': 30.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 246.12, 'stop_price': 241.67, 'risk_unit_pct': 1.81}","{'prior_run_pct': 0.23, 'base_length': 15.0, 'compression_score': 79.68, 'readiness_score': 94.01, 'intraday_confirmation_score': 50.79, 'execution_quality_score': 77.25, 'pivot_distance_pct': -0.1, 'high_52w_proximity': 1.0}"
2026-04-22,EQIX,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,A+,2-star,81.12,78.0,78.0,79.9,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'TOP_RS_6M', 'NEAR_52W_HIGH', 'TIGHT_BASE', 'HIGHER_LOWS', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE']",[],"['HAS_DAILY', 'NO_INTRADAY', 'HAS_SECTOR_MAPPING', 'HAS_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA']",55.0,1109.3,1089.4,1.79,5m_ORH,1109.3,1089.4,1102.28,1.09,1.89,True,1109.3,1089.4,5.57,True,"{'a_pp_score': 81.12, 'setup_score': 78.0, 'final_priority_score': 79.9, 'data_confidence_score': 55.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 1109.3, 'stop_price': 1089.4, 'risk_unit_pct': 1.79}","{'prior_run_pct': 0.44, 'base_length': 15.0, 'compression_score': 84.14, 'readiness_score': 78.77, 'intraday_confirmation_score': 55.83, 'execution_quality_score': 68.24, 'pivot_distance_pct': -0.63, 'high_52w_proximity': 0.99}"
2026-04-22,PLXS,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,A+,2-star,79.16,77.98,77.98,80.07,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'TOP_RS_6M', 'NEAR_52W_HIGH', 'TIGHT_BASE', 'HIGHER_LOWS', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE']",[],"['HAS_DAILY', 'NO_INTRADAY', 'HAS_SECTOR_MAPPING', 'HAS_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA']",55.0,243.82,234.9,3.66,5m_ORH,243.82,234.9,243.56,0.78,3.68,True,243.82,234.9,2.73,True,"{'a_pp_score': 79.16, 'setup_score': 77.98, 'final_priority_score': 80.07, 'data_confidence_score': 55.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 243.82, 'stop_price': 234.9, 'risk_unit_pct': 3.66}","{'prior_run_pct': 0.59, 'base_length': 15.0, 'compression_score': 84.14, 'readiness_score': 92.04, 'intraday_confirmation_score': 41.91, 'execution_quality_score': 74.91, 'pivot_distance_pct': -0.11, 'high_52w_proximity': 1.0}"
2026-04-22,EMXC,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,A+,2-star,80.17,77.83,77.83,77.54,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'TOP_RS_6M', 'NEAR_52W_HIGH', 'TIGHT_BASE', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE']",[],"['HAS_DAILY', 'NO_INTRADAY', 'NO_SECTOR_MAPPING', 'NO_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA', 'NEEDS_REVIEW']",30.0,90.6,89.07,1.69,5m_ORH,90.6,89.07,89.7,0.8,1.69,False,90.6,89.07,5.93,True,"{'a_pp_score': 80.17, 'setup_score': 77.83, 'final_priority_score': 77.54, 'data_confidence_score': 30.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 90.6, 'stop_price': 89.07, 'risk_unit_pct': 1.69}","{'prior_run_pct': 0.2, 'base_length': 15.0, 'compression_score': 80.29, 'readiness_score': 96.32, 'intraday_confirmation_score': 39.59, 'execution_quality_score': 72.59, 'pivot_distance_pct': -0.99, 'high_52w_proximity': 0.99}"
2026-04-22,SPNT,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,A+,2-star,83.3,77.82,77.82,80.9,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'TOP_RS_6M', 'NEAR_52W_HIGH', 'TIGHT_BASE', 'HIGHER_LOWS', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE']",[],"['HAS_DAILY', 'NO_INTRADAY', 'HAS_SECTOR_MAPPING', 'HAS_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA']",55.0,23.68,23.1,2.48,5m_ORH,23.68,23.1,23.52,0.83,2.52,True,23.68,23.1,4.03,True,"{'a_pp_score': 83.3, 'setup_score': 77.82, 'final_priority_score': 80.9, 'data_confidence_score': 55.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 23.68, 'stop_price': 23.1, 'risk_unit_pct': 2.48}","{'prior_run_pct': 0.22, 'base_length': 15.0, 'compression_score': 89.79, 'readiness_score': 77.75, 'intraday_confirmation_score': 42.21, 'execution_quality_score': 73.42, 'pivot_distance_pct': -0.69, 'high_52w_proximity': 0.99}"
2026-04-22,IYW,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,A+,2-star,78.8,77.81,77.81,78.93,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'NEAR_52W_HIGH', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE']",[],"['HAS_DAILY', 'NO_INTRADAY', 'NO_SECTOR_MAPPING', 'HAS_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA', 'NEEDS_REVIEW']",45.0,214.35,210.51,1.8,5m_ORH,214.35,210.51,214.13,0.39,1.8,False,214.35,210.51,5.57,True,"{'a_pp_score': 78.8, 'setup_score': 77.81, 'final_priority_score': 78.93, 'data_confidence_score': 45.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 214.35, 'stop_price': 210.51, 'risk_unit_pct': 1.8}","{'prior_run_pct': 0.23, 'base_length': 15.0, 'compression_score': 77.58, 'readiness_score': 99.95, 'intraday_confirmation_score': 41.9, 'execution_quality_score': 74.9, 'pivot_distance_pct': -0.1, 'high_52w_proximity': 1.0}"
2026-04-22,DTCR,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,A+,2-star,78.71,77.54,77.54,77.78,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'TOP_RS_6M', 'NEAR_52W_HIGH', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE', 'VOLUME_CONFIRMATION']",[],"['HAS_DAILY', 'NO_INTRADAY', 'NO_SECTOR_MAPPING', 'NO_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA', 'NEEDS_REVIEW']",30.0,28.43,27.93,1.76,5m_ORH,28.43,27.93,28.1,1.3,1.76,False,28.43,27.93,5.68,True,"{'a_pp_score': 78.71, 'setup_score': 77.54, 'final_priority_score': 77.78, 'data_confidence_score': 30.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 28.43, 'stop_price': 27.93, 'risk_unit_pct': 1.76}","{'prior_run_pct': 0.28, 'base_length': 15.0, 'compression_score': 74.92, 'readiness_score': 72.42, 'intraday_confirmation_score': 81.41, 'execution_quality_score': 79.65, 'pivot_distance_pct': -1.16, 'high_52w_proximity': 0.99}"
2026-04-22,ZYME,US,US,BREAKOUT,PATTERN_INCLUDED,Tier 3,B,2-star,73.46,77.35,77.35,78.56,RISK_ON,RISK_ON,100.0,100.0,100.0,100.0,"['TOP_RS_3M', 'TOP_RS_6M', 'NEAR_52W_HIGH', 'HIGHER_LOWS', 'RISK_WITHIN_ADR', 'REGIME_SUPPORTIVE', 'VOLUME_CONFIRMATION']",[],"['HAS_DAILY', 'NO_INTRADAY', 'HAS_SECTOR_MAPPING', 'HAS_FUNDAMENTALS', 'NO_EVENT_DATA', 'NO_ESTIMATE_DATA']",55.0,28.84,27.8,3.59,5m_ORH,28.84,27.8,28.53,1.24,3.75,True,28.84,27.8,2.79,True,"{'a_pp_score': 73.46, 'setup_score': 77.35, 'final_priority_score': 78.56, 'data_confidence_score': 55.0}","{'entry_timeframe': '5m_ORH', 'pivot_price': 28.84, 'stop_price': 27.8, 'risk_unit_pct': 3.59}","{'prior_run_pct': 0.31, 'base_length': 15.0, 'compression_score': 74.62, 'readiness_score': 85.42, 'intraday_confirmation_score': 73.8, 'execution_quality_score': 76.18, 'pivot_distance_pct': -1.07, 'high_52w_proximity': 0.99}"
