date,symbol,open,high,low,close,volume,adj_close,dividends,stock_splits,split_factor
2025-03-06,003380,5300.0,5370.0,5280.0,5290.0,104466,5290.0,0.0,0.0,1.0
2025-03-07,003380,5280.0,5360.0,5260.0,5300.0,108555,5300.0,0.0,0.0,1.0
2025-03-10,003380,5280.0,5340.0,5270.0,5340.0,92312,5340.0,0.0,0.0,1.0
2025-03-11,003380,5330.0,5340.0,5250.0,5340.0,185042,5340.0,0.0,0.0,1.0
2025-03-12,003380,5290.0,5330.0,5190.0,5230.0,262865,5230.0,0.0,0.0,1.0
2025-03-13,003380,5230.0,5260.0,5150.0,5150.0,319327,5150.0,0.0,0.0,1.0
2025-03-14,003380,5160.0,5270.0,5160.0,5200.0,183553,5200.0,0.0,0.0,1.0
2025-03-17,003380,5220.0,5240.0,5180.0,5210.0,81333,5210.0,0.0,0.0,1.0
2025-03-18,003380,5210.0,5260.0,5200.0,5230.0,115203,5230.0,0.0,0.0,1.0
2025-03-19,003380,5200.0,5470.0,5200.0,5300.0,227136,5300.0,0.0,0.0,1.0
2025-03-20,003380,5350.0,5850.0,5320.0,5740.0,1124147,5740.0,0.0,0.0,1.0
2025-03-21,003380,5740.0,6050.0,5700.0,6050.0,753419,6050.0,0.0,0.0,1.0
2025-03-24,003380,6070.0,6160.0,5890.0,5920.0,343398,5920.0,0.0,0.0,1.0
2025-03-25,003380,5870.0,5970.0,5790.0,5850.0,186981,5850.0,0.0,0.0,1.0
2025-03-26,003380,5890.0,5970.0,5780.0,5830.0,180039,5830.0,0.0,0.0,1.0
2025-03-27,003380,5830.0,5900.0,5700.0,5700.0,147548,5700.0,0.0,0.0,1.0
2025-03-28,003380,5650.0,5800.0,5560.0,5740.0,254305,5740.0,0.0,0.0,1.0
2025-03-31,003380,5690.0,5690.0,5470.0,5590.0,154267,5590.0,0.0,0.0,1.0
2025-04-01,003380,5590.0,5740.0,5570.0,5690.0,132973,5690.0,0.0,0.0,1.0
2025-04-02,003380,5690.0,5700.0,5520.0,5550.0,66934,5550.0,0.0,0.0,1.0
2025-04-03,003380,5470.0,5500.0,5330.0,5420.0,112048,5420.0,0.0,0.0,1.0
2025-04-04,003380,5440.0,5540.0,5330.0,5520.0,139705,5520.0,0.0,0.0,1.0
2025-04-07,003380,5340.0,5390.0,5160.0,5300.0,228843,5300.0,0.0,0.0,1.0
2025-04-08,003380,5350.0,5530.0,5340.0,5450.0,141222,5450.0,0.0,0.0,1.0
2025-04-09,003380,5560.0,5560.0,5140.0,5190.0,318358,5190.0,0.0,0.0,1.0
2025-04-10,003380,5310.0,5610.0,5280.0,5610.0,287467,5610.0,0.0,0.0,1.0
2025-04-11,003380,5550.0,5560.0,5430.0,5500.0,120275,5500.0,0.0,0.0,1.0
2025-04-14,003380,5520.0,5620.0,5520.0,5570.0,80875,5570.0,0.0,0.0,1.0
2025-04-15,003380,5540.0,5730.0,5540.0,5620.0,53110,5620.0,0.0,0.0,1.0
2025-04-16,003380,5570.0,5690.0,5540.0,5620.0,100337,5620.0,0.0,0.0,1.0
2025-04-17,003380,5660.0,5730.0,5610.0,5710.0,147397,5710.0,0.0,0.0,1.0
2025-04-18,003380,5660.0,5750.0,5610.0,5750.0,105973,5750.0,0.0,0.0,1.0
2025-04-21,003380,5700.0,5780.0,5630.0,5780.0,128403,5780.0,0.0,0.0,1.0
2025-04-22,003380,5780.0,5780.0,5680.0,5680.0,73771,5680.0,0.0,0.0,1.0
2025-04-23,003380,5730.0,5910.0,5680.0,5800.0,303482,5800.0,0.0,0.0,1.0
2025-04-24,003380,5750.0,5910.0,5750.0,5880.0,144892,5880.0,0.0,0.0,1.0
