family_cycle_id,scope,engine,family,symbol,opened_on,last_signal_date,buy_signal_code,screen_stage,entry_price,break_even_level,support_zone_low,support_zone_high,stop_level,trailing_level,trailing_mode,tp1_level,tp2_level,tp_plan,tp1_hit,tp2_hit,trim_count,last_trim_date,partial_exit_active,risk_free_armed,add_on_count,add_on_slot,max_add_ons,tranche_pct,next_addon_allowed,last_addon_date,pyramid_state,protected_stop_level,base_position_units,current_position_units,blended_entry_price,last_trailing_confirmed_level,last_protected_stop_level,last_pyramid_reference_level,source_tags,primary_source_style,source_fit_score,source_fit_label,addon_block_reason,trailing_ratcheted,blended_entry_protected,addon_reason_codes,addon_next_slot,addon_tranche_pct,contract_version,reference_exit_signal
UG:UG_BREAKOUT:067170:2026-04-17,all,UG,UG_BREAKOUT,067170,2026-04-17,2026-04-17,UG_BUY_BREAKOUT,,2695.0,,2005.6,2549.962263280809,2005.6,,,,,,,,0,,False,,,,,,,,,,1.0,1.0,,,,,[],,0.0,NONE,,,,,,,v2,
TREND:TF_MOMENTUM:077970:2026-04-17,all,TREND,TF_MOMENTUM,077970,2026-04-17,2026-04-17,TF_BUY_MOMENTUM,,44000.0,44000.0,30400.0,35699.221,30400.0,36467.857142857145,MOMENTUM_SWING_ATR_CHANDELIER,71200.0,84800.0,TP_MOMENTUM_2R_3R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,36467.857142857145,1.0,1.0,44000.0,36467.857142857145,36467.857142857145,36467.857142857145,[],,0.0,NONE,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_SWING_ATR_CHANDELIER']",1.0,0.5,v2,
TREND:TF_MOMENTUM:080580:2026-04-17,all,TREND,TF_MOMENTUM,080580,2026-04-17,2026-04-17,TF_BUY_MOMENTUM,,25100.0,25100.0,17450.0,22093.7775,17450.0,21731.041907056613,MOMENTUM_RATCHET,36575.0,44225.0,TP_MOMENTUM_1P5R_2P5R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,21731.041907056613,1.0,1.0,25100.0,21731.041907056613,21731.041907056613,21731.041907056613,[],,0.0,NONE,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_RATCHET']",1.0,0.5,v2,
TREND:TF_MOMENTUM:083310:2026-04-17,all,TREND,TF_MOMENTUM,083310,2026-04-17,2026-04-17,TF_BUY_MOMENTUM,,15920.0,15920.0,11770.0,13815.5547,11770.0,14011.428571428572,MOMENTUM_SWING_ATR_CHANDELIER,24220.0,28370.0,TP_MOMENTUM_2R_3R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,14011.428571428572,1.0,1.0,15920.0,14011.428571428572,14011.428571428572,14011.428571428572,[],,0.0,NONE,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_SWING_ATR_CHANDELIER']",1.0,0.5,v2,
UG:UG_BREAKOUT:083310:2026-04-17,all,UG,UG_BREAKOUT,083310,2026-04-17,2026-04-17,UG_BUY_BREAKOUT,,15920.0,,13147.0,15186.825585939288,13147.0,,,,,,,,0,,False,,,,,,,,,,1.0,1.0,,,,,[],,0.0,NONE,,,,,,,v2,
TREND:TF_MOMENTUM:089890:2026-04-17,all,TREND,TF_MOMENTUM,089890,2026-04-17,2026-04-17,TF_BUY_MOMENTUM,,32000.0,32000.0,18510.0,27139.1396,18510.0,26492.861691385784,MOMENTUM_RATCHET,52235.0,65725.0,TP_MOMENTUM_1P5R_2P5R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,26492.861691385784,1.0,1.0,32000.0,26492.861691385784,26492.861691385784,26492.861691385784,[],,0.0,NONE,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_RATCHET']",1.0,0.5,v2,
UG:UG_BREAKOUT:089890:2026-04-17,all,UG,UG_BREAKOUT,089890,2026-04-17,2026-04-17,UG_BUY_BREAKOUT,,32000.0,,23553.5,30215.5631386349,23553.5,,,,,,,,0,,False,,,,,,,,,,1.0,1.0,,,,,[],,0.0,NONE,,,,,,,v2,
TREND:TF_MOMENTUM:089970:2026-04-17,all,TREND,TF_MOMENTUM,089970,2026-04-17,2026-04-17,TF_BUY_MOMENTUM,,55100.0,55100.0,38000.0,48482.6151,38000.0,47662.407353649825,MOMENTUM_RATCHET,80750.0,97850.0,TP_MOMENTUM_1P5R_2P5R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,47662.407353649825,1.0,1.0,55100.0,47662.407353649825,47662.407353649825,47662.407353649825,[],,0.0,NONE,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_RATCHET']",1.0,0.5,v2,
TREND:TF_MOMENTUM:090460:2026-04-17,all,TREND,TF_MOMENTUM,090460,2026-04-17,2026-04-17,TF_BUY_MOMENTUM,,31400.0,31400.0,19710.0,25814.1354,19710.0,25186.311181684283,MOMENTUM_RATCHET,48935.0,60625.0,TP_MOMENTUM_1P5R_2P5R,False,False,0,,False,False,0.0,0.0,2.0,,False,,INITIAL,25186.311181684283,1.0,1.0,31400.0,25186.311181684283,25186.311181684283,25186.311181684283,[],,0.0,NONE,AVERAGING_DOWN_BLOCKED,False,False,"['PYRAMID_SLOT_1', 'MOMENTUM_CONTINUE', 'PYRAMID_SIGNAL_CONFIRMED', 'AVERAGING_DOWN_BLOCKED', 'TRAIL_MODE_MOMENTUM_RATCHET']",1.0,0.5,v2,
UG:UG_BREAKOUT:090460:2026-04-17,all,UG,UG_BREAKOUT,090460,2026-04-17,2026-04-17,UG_BUY_BREAKOUT,,31400.0,,23017.5,28412.26110392492,23017.5,,,,,,,,0,,False,,,,,,,,,,1.0,1.0,,,,,[],,0.0,NONE,,,,,,,v2,
