symbol,added_date,added_timestamp,sector,rs_score,close_price,sma_30,volume_ratio,relative_strength,above_30w_ma,ma_trending_up,volume_surge,breakout_occurred,positive_rs,sustained_breakout,entry_type,obv_rising,healthy_pattern,resistance_level,market_favorable,date,screening_date
ASPI,2025-08-18 00:00:00+00:00,1755451583.665314,Basic Materials,96.74,10.489999771118164,6.185166645050049,2.4422375622715258,1.3861446850581864,True,True,True,True,True,True,A형,True,True,10.278999710083008,True,66,2025-08-17
ISSC,2025-08-18 00:00:00+00:00,1755451583.665321,Industrials,97.22,16.1299991607666,9.469666624069214,3.853394373995597,1.1855191218434764,True,True,True,True,True,True,A형,True,True,15.978999710083007,True,66,2025-08-17
AIR,2025-08-18 00:00:00+00:00,1755451583.665331,Industrials,85.01,83.63999938964844,64.21866594950357,2.786718006114501,1.110532283777959,True,True,True,True,True,True,A형,True,True,82.10850028991699,True,66,2025-08-17
ATEC,2025-08-18 00:00:00+00:00,1755451583.665339,Healthcare,93.5,13.770000457763672,11.213999938964845,2.2900961262357624,1.3041257697913031,True,True,True,True,True,True,A형,True,True,12.321500253677367,True,68,2025-08-17
MISL,2025-08-18 00:00:00+00:00,1755451583.665349,,86.49,39.43999862670898,32.4792999903361,2.034435497687168,1.035706463425508,True,True,True,True,True,True,A형,True,True,37.81950130462646,True,66,2025-08-17
BE,2025-08-18 00:00:00+00:00,1755451583.665357,Industrials,97.85,34.34000015258789,22.47800006866455,2.2750862279452395,1.3536162483114618,True,True,True,True,True,True,A형,True,True,33.040049362182614,True,67,2025-08-17
PFGC,2025-08-18 00:00:00+00:00,1755451583.665366,Consumer Defensive,87.98,98.77999877929688,84.40933278401693,2.5088749819939498,1.0352990271444846,True,True,True,True,True,True,A형,True,True,95.9975028991699,True,66,2025-08-17
X,2025-08-18 00:00:00+00:00,1755451583.665375,Basic Materials,92.18,52.0099983215332,38.55533339182536,2.444711444028792,1.3225585886723217,True,True,True,True,True,True,A형,True,True,51.528001594543454,True,64,2025-08-17
SVT,2025-08-18 00:00:00+00:00,1755451583.665382,Industrials,98.83,46.68000030517578,12.877666695912678,7.734088127294981,1.205409132131007,True,True,True,True,True,True,A형,True,True,44.79250144958496,True,64,2025-08-17
TPB,2025-08-18 00:00:00+00:00,1755451583.66539,Consumer Defensive,94.27,78.13999938964844,65.93766733805339,2.0851532840756013,1.0745493313869945,True,True,True,True,True,True,A형,True,True,77.1875,True,66,2025-08-17
ARKX,2025-08-18 00:00:00+00:00,1755451583.665398,,92.4,27.39999961853028,20.4482666015625,4.608262276495736,1.0903927399318702,True,True,True,True,True,True,A형,True,True,26.2570499420166,True,66,2025-08-17
ALNT,2025-08-18 00:00:00+00:00,1755451583.665405,Technology,95.42,39.81999969482422,27.54333324432373,2.029314747335229,1.0253624214506296,True,True,True,True,True,True,A형,True,True,38.37049942016601,True,66,2025-08-17
UTES,2025-08-18 00:00:00+00:00,1755451583.665414,,89.12,81.9800033569336,70.10300025939941,2.0717013247225,1.058168681761356,True,True,True,True,True,True,A형,True,True,76.8645034790039,True,68,2025-08-17
AFK,2025-08-18 00:00:00+00:00,1755451583.665424,,86.29,21.56999969482422,17.998333231608072,2.1039331293597887,1.015178525849029,True,True,True,True,True,True,A형,True,True,20.776500797271726,True,67,2025-08-17
PVLA,2025-08-18 00:00:00+00:00,1755451583.665431,Healthcare,97.1,38.619998931884766,22.45816644032796,2.5918701287931896,1.2891532944480957,True,True,True,True,True,True,A형,True,True,37.34829921722412,True,67,2025-08-17
FCA,2025-08-18 00:00:00+00:00,1755451583.665442,,87.4,25.88999938964844,21.626000086466476,7.695984703632887,1.0266962227847136,True,True,True,True,True,True,A형,True,True,25.39349956512451,True,67,2025-08-17
MAKX,2025-08-18 00:00:00+00:00,1755451583.665451,,86.77,49.75400161743164,40.34266688028971,2.237762237762238,1.0454873853294475,True,True,True,True,True,True,A형,True,True,47.9882999420166,True,66,2025-08-17
RSI,2025-08-18 00:00:00+00:00,1755451583.665459,Consumer Cyclical,95.47,19.350000381469727,13.229666709899902,3.0726078222554576,1.302804015367811,True,True,True,True,True,True,A형,True,True,14.9625,True,68,2025-08-17
TLSA,2025-08-18 00:00:00+00:00,1755451583.665467,Healthcare,97.66,2.380000114440918,1.2786666750907898,2.297200449192188,1.31122373190379,True,True,True,True,True,True,A형,True,True,1.7954999864101409,True,68,2025-08-17
KEP,2025-08-18 00:00:00+00:00,1755451583.665474,Utilities,94.97,14.15999984741211,8.485333363215128,4.426536921595459,1.276580045882592,True,True,True,True,True,True,A형,True,True,14.050499963760377,True,63,2025-08-17
FNGO,2025-08-18 00:00:00+00:00,1755451583.665483,,90.32,109.39700317382812,89.4863338470459,2.22425484939284,1.009066240412688,True,True,True,True,True,True,A형,True,True,107.35,True,66,2025-08-17
VRNA,2025-08-18 00:00:00+00:00,1755451583.66549,Healthcare,97.93,104.83000183105467,67.41499926249186,8.575453325871253,1.1484665042692137,True,True,True,True,True,True,A형,True,True,100.225,True,65,2025-08-17
RMNI,2025-08-18 00:00:00+00:00,1755451583.665498,Technology,95.35,5.239999771118164,3.3163333336512246,3.0168709575286083,1.260060511277385,True,True,True,True,True,True,A형,True,True,5.111000108718872,True,65,2025-08-17
CYBR,2025-08-18 00:00:00+00:00,1755451583.665507,Technology,89.69,414.0,367.467002360026,6.860527933470632,1.1201981979942313,True,True,True,True,True,True,A형,True,True,390.45,True,68,2025-08-17
ALAI,2025-08-18 00:00:00+00:00,1755451583.665515,,90.08,30.625,26.31690006256104,6.548545775825016,1.0218735245240114,True,True,True,True,True,True,A형,True,True,30.599499130249026,True,63,2025-08-17
SANM,2025-08-18 00:00:00+00:00,1755451583.665524,Technology,92.69,110.95999908447266,85.71366653442382,3.314276742520141,1.15342774308038,True,True,True,True,True,True,A형,True,True,101.67849884033204,True,68,2025-08-17
HWM,2025-08-18 00:00:00+00:00,1755451583.665532,Industrials,94.12,184.8999938964844,136.93900044759116,2.312319934567693,1.0309027852796158,True,True,True,True,True,True,A형,True,True,182.029500579834,True,63,2025-08-17
PSIL,2025-08-18 00:00:00+00:00,1755451583.66554,,91.21,17.204999923706055,13.122066593170166,2.427836966924306,1.032150526560763,True,True,True,True,True,True,A형,True,True,16.5394998550415,True,67,2025-08-17
CNEQ,2025-08-18 00:00:00+00:00,1755451583.665549,,88.9,29.350000381469727,25.75296649932861,2.97920486910382,1.0163139255758376,True,True,True,True,True,True,A형,True,True,29.298000144958493,True,63,2025-08-17
BWMN,2025-08-18 00:00:00+00:00,1755451583.665557,Industrials,91.67,36.130001068115234,25.16733328501384,2.382047816396495,1.1305630184583078,True,True,True,True,True,True,A형,True,True,35.4730001449585,True,67,2025-08-17
BWFG,2025-08-18 00:00:00+00:00,1755451583.665567,Financial Services,88.27,39.09000015258789,32.868666648864746,2.310257589696412,1.0713293048120534,True,True,True,True,True,True,A형,True,True,38.19949913024902,True,68,2025-08-17
ARKF,2025-08-18 00:00:00+00:00,1755451583.665575,,93.7,54.72999954223633,40.32766679128011,2.209887717409917,1.0663657634732562,True,True,True,True,True,True,A형,True,True,53.025201797485344,True,66,2025-08-17
SPTN,2025-08-18 00:00:00+00:00,1755451583.665583,Consumer Defensive,90.66,26.51000022888184,19.349333381652837,7.635084489169381,1.4524151319160583,True,True,True,True,True,True,A형,True,True,25.355500507354733,True,63,2025-08-17
FDTS,2025-08-18 00:00:00+00:00,1755451583.665593,,85.11,51.369998931884766,43.7,2.5742574257425743,1.0112227328109338,True,True,True,True,True,True,A형,True,True,49.99850101470947,True,65,2025-08-17
FSS,2025-08-18 00:00:00+00:00,1755451583.665602,Industrials,91.03,122.56999969482422,92.88099975585938,2.42465410369769,1.15464347584397,True,True,True,True,True,True,A형,True,True,108.68000144958496,True,68,2025-08-17
ATFV,2025-08-18 00:00:00+00:00,1755451583.665611,,89.62,30.475000381469727,25.963166618347167,2.742485280446235,1.0281791949018018,True,True,True,True,True,True,A형,True,True,29.00350065231323,True,68,2025-08-17
FIG,2025-08-18 00:00:00+00:00,1755451583.665618,Technology,99.16,23.246999740600582,21.669499842325845,3.7712833545108007,1.0119990119380258,True,True,True,True,True,True,A형,True,True,22.63375072479248,True,63,2025-08-17
AIBU,2025-08-18 00:00:00+00:00,1755451583.665626,,91.96,45.5989990234375,34.62473335266113,2.055488274799075,1.0028494858174353,True,True,True,True,True,True,A형,True,True,44.08000144958496,True,62,2025-08-17
OKYO,2025-08-18 00:00:00+00:00,1755451583.665633,Healthcare,98.0,2.990000009536743,1.6007333278656006,2.5476642736075346,1.057342778570835,True,True,True,True,True,True,A형,True,True,2.954499900341034,True,66,2025-08-17
RMBS,2025-08-18 00:00:00+00:00,1755451583.665641,Technology,91.39,72.41000366210938,57.86066665649414,2.2391615787702515,1.1806089427272766,True,True,True,True,True,True,A형,True,True,66.54750289916991,True,68,2025-08-17
HDSN,2025-08-18 00:00:00+00:00,1755451583.66565,Basic Materials,91.28,9.550000190734863,6.766000080108642,2.335983264495138,1.1472739517124624,True,True,True,True,True,True,A형,True,True,8.132000398635864,True,68,2025-08-17
KEMQ,2025-08-18 00:00:00+00:00,1755451583.665659,,86.83,22.78199958801269,19.32786655426025,3.887889514303952,1.0286371344560543,True,True,True,True,True,True,A형,True,True,22.21099920272827,True,66,2025-08-17
INDV,2025-08-18 00:00:00+00:00,1755451583.665668,Healthcare,96.32,17.139999389648438,11.767999935150147,2.500917195517699,1.0545835246295914,True,True,True,True,True,True,A형,True,True,16.3875,True,67,2025-08-17
LASR,2025-08-18 00:00:00+00:00,1755451583.665676,Technology,96.91,19.6299991607666,11.24666674931844,2.140355194025098,1.090311622240797,True,True,True,True,True,True,A형,True,True,19.34200057983398,True,63,2025-08-17
VERV,2025-08-18 00:00:00+00:00,1755451583.665683,Healthcare,96.02,11.0600004196167,6.009500002861023,5.848390890040268,1.8036723060059945,True,True,True,True,True,True,A형,True,True,10.83474974632263,True,63,2025-08-17
OLO,2025-08-18 00:00:00+00:00,1755451583.665691,Technology,95.56,10.119999885559082,7.525333309173584,5.256249357277922,1.1544325312967192,True,True,True,True,True,True,A형,True,True,9.651999855041504,True,64,2025-08-17
GCAD,2025-08-18 00:00:00+00:00,1755451583.665701,,85.89,42.3129997253418,36.31389993031819,2.8632175761871013,1.0142639722131104,True,True,True,True,True,True,A형,True,True,42.20850028991699,True,65,2025-08-17
GHLD,2025-08-18 00:00:00+00:00,1755451583.665709,Financial Services,93.9,19.86000061035156,14.849666690826416,2.0402144014783308,1.0252540856481671,True,True,True,True,True,True,A형,True,True,19.14249963760377,True,68,2025-08-17
WNS,2025-08-18 00:00:00+00:00,1755451583.665718,Technology,89.93,74.69999694824219,58.22100003560384,8.522574151260399,1.145702557397987,True,True,True,True,True,True,A형,True,True,71.33549652099609,True,65,2025-08-17
CHAT,2025-08-18 00:00:00+00:00,1755451583.665727,,89.75,49.90999984741211,40.990199915568034,2.015259428405734,1.0297979347295756,True,True,True,True,True,True,A형,True,True,48.68274898529052,True,66,2025-08-17
FOSLL,2025-08-20,1755617885.898928,,92.66,22.600000381469727,16.07366673151652,5.0793314998942245,1.1533174346148756,True,True,True,True,True,True,A형,True,True,21.86900043487549,True,68,2025-08-19
SNN,2025-08-20,1755617885.898947,Healthcare,88.17,36.13999938964844,28.401666514078777,2.0353520628815263,1.1437926581045457,True,True,True,True,True,True,A형,True,True,34.998000144958496,True,67,2025-08-19
TPTA,2025-08-20,1755617885.898959,,86.56,21.01000022888184,17.589033349355063,2.1016949152542375,1.0127790369923642,True,True,True,True,True,True,A형,True,True,20.9,True,64,2025-08-19
AORT,2025-08-20,1755617885.898967,Healthcare,92.98,42.810001373291016,28.785666720072427,2.230260022866301,1.0352503853210546,True,True,True,True,True,True,A형,True,True,41.77150115966797,True,68,2025-08-19
CHN,2025-08-20,1755617885.898976,Financial Services,90.7,16.350000381469727,13.31766668955485,4.1678580069061075,1.0202225458323597,True,True,True,True,True,True,A형,True,True,15.636999130249023,True,68,2025-08-19
BWAY,2025-08-20,1755617885.898984,Healthcare,93.05,12.979999542236328,10.542666657765706,2.410960808268271,1.0930031666664783,True,True,True,True,True,True,A형,True,True,12.972249746322632,True,68,2025-08-19
PHLT,2025-08-20,1755617885.898991,Healthcare,97.89,7.639999866485596,3.05633331934611,10.38196206210673,2.156748391570682,True,True,True,True,True,True,A형,True,True,7.3529997825622555,True,66,2025-08-19
ION,2025-08-20,1755617885.899,,87.27,33.81999969482422,27.001933288574218,2.3585584030833835,1.0566348494767728,True,True,True,True,True,True,A형,True,True,33.221501159667966,True,65,2025-08-19
MRCY,2025-08-20,1755617885.899008,Industrials,92.89,66.69999694824219,48.551666259765625,2.6150380132160915,1.250256904342821,True,True,True,True,True,True,A형,True,True,66.45249710083007,True,68,2025-08-19
JEQ,2025-08-20,1755617885.899019,Financial Services,87.42,8.100000381469727,6.765333382288615,3.9199184567998295,1.001397687313287,True,True,True,True,True,True,A형,True,True,7.875499963760376,True,68,2025-08-19
FEP,2025-08-20,1755617885.899029,,85.17,50.650001525878906,43.820000330607094,2.0579701291958097,1.0110306079881441,True,True,True,True,True,True,A형,True,True,48.22199840545654,True,68,2025-08-19
BKTI,2025-08-20,1755617885.899036,Technology,96.99,65.27999877929688,40.371666526794435,2.580560692601018,1.6124941694474766,True,True,True,True,True,True,A형,True,True,62.92799797058105,True,68,2025-08-19
TBPH,2025-08-20,1755617885.899044,Healthcare,92.31,13.149999618530272,10.03716656366984,2.363523871976408,1.1303874238739773,True,True,True,True,True,True,A형,True,True,12.587499999999999,True,68,2025-08-19
EM,2025-08-20,1755617885.899053,Consumer Cyclical,91.42,1.2899999618530271,1.124499996503194,5.254505139104975,1.0981113051243292,True,True,True,True,True,True,A형,True,True,1.1295500099658968,True,69,2025-08-19
BUZZ,2025-08-20,1755617885.899062,,87.87,32.64500045776367,25.86400006612142,4.63390874020964,1.0467573784196638,True,True,True,True,True,True,A형,True,True,31.28350028991699,True,64,2025-08-19
DCO,2025-08-20,1755617885.89907,Industrials,90.6,90.54000091552734,67.01766637166341,2.3276511401053863,1.0496872665449077,True,True,True,True,True,True,A형,True,True,89.3,True,64,2025-08-19
NLR,2025-08-20,1755617885.899079,,89.6,117.12999725341795,89.18566691080729,2.0463580744017578,1.0759999114538803,True,True,True,True,True,True,A형,True,True,116.15649681091308,True,64,2025-08-19
DAIO,2025-08-20,1755617885.899088,Technology,86.47,3.3299999237060547,2.7399999856948853,2.411862650555054,1.0218818938997773,True,True,True,True,True,True,A형,True,True,3.306000018119812,True,65,2025-08-19
LQDA,2025-08-20,1755617885.899096,Healthcare,96.11,25.950000762939453,15.635333410898845,2.3857683310191713,1.2566030793876606,True,True,True,True,True,True,A형,True,True,25.317499637603763,True,68,2025-08-19
NXTC,2025-08-20,1755617885.899104,Healthcare,99.26,6.170000076293945,1.0608999888102213,4.821593948591462,1.2179968410586135,True,True,True,True,True,True,A형,True,True,6.099000072479248,True,65,2025-08-19
SOCL,2025-08-20,1755617885.899112,,88.27,56.630001068115234,47.77533353169759,2.5043184573575132,1.0194829441075175,True,True,True,True,True,True,A형,True,True,55.90749855041503,True,67,2025-08-19
FSI,2025-08-20,1755617885.899119,Basic Materials,96.14,7.5,5.0992666482925415,3.807848367051613,1.3432868459679745,True,True,True,True,True,True,A형,True,True,7.41000018119812,True,68,2025-08-19
EZJ,2025-08-20,1755617885.899128,,85.77,49.25,40.241000175476074,2.2145988183724032,1.043226697949483,True,True,True,True,True,True,A형,True,True,47.30050086975098,True,68,2025-08-19
INTR,2025-08-20,1755617885.899137,Financial Services,86.32,8.0600004196167,6.368333339691162,2.035356748831844,1.0259106280195738,True,True,True,True,True,True,A형,True,True,7.9467497825622555,True,68,2025-08-19
OND,2025-08-20,1755617885.899146,,87.53,43.84099960327149,36.085833104451496,3.698744769874477,1.0390775369374647,True,True,True,True,True,True,A형,True,True,42.940000724792476,True,64,2025-08-19
PBYI,2025-08-20,1755617885.899154,Healthcare,94.05,5.730000019073486,3.293666672706604,4.342679534941142,1.53773791906611,True,True,True,True,True,True,A형,True,True,5.519499945640564,True,68,2025-08-19
FER,2025-08-20,1755617885.899164,Industrials,85.14,54.84999847412109,48.40533307393392,2.35729186421392,1.0345974166651501,True,True,True,True,True,True,A형,True,True,52.4019998550415,True,68,2025-08-19
IDXX,2025-08-20,1755617885.899172,Healthcare,88.98,658.0599975585938,477.9989949544271,2.0510219950352084,1.198964384200446,True,True,True,True,True,True,A형,True,True,653.7139953613281,True,67,2025-08-19
LTM,2025-08-20,1755617885.89918,Industrials,92.47,44.130001068115234,35.359666442871095,2.164761718623759,1.0007021606555508,True,True,True,True,True,True,A형,True,True,42.721501159667966,True,55,2025-08-19
COMM,2025-08-20,1755617885.899188,Technology,98.35,15.579999923706056,6.065833346048991,4.071904971980272,1.9514736113802533,True,True,True,True,True,True,A형,True,True,15.057500362396242,True,67,2025-08-19
