date,Open,High,Low,Close,Adj Close,Volume,symbol
2024-06-25 04:00:00+00:00,40.0,44.0,31.0,33.0,33.0,1198944,CBIO
2024-06-26 04:00:00+00:00,30.0,31.0,28.0,29.0,29.0,85569,CBIO
2024-06-27 04:00:00+00:00,28.0,32.0,27.0,32.0,32.0,43973,CBIO
2024-06-28 04:00:00+00:00,30.0,31.0,28.0,28.0,28.0,21295,CBIO
2024-07-01 04:00:00+00:00,28.0,30.0,28.0,30.0,30.0,13211,CBIO
2024-07-02 04:00:00+00:00,30.0,30.0,27.0,27.0,27.0,11832,CBIO
2024-07-03 04:00:00+00:00,27.0,28.0,26.0,27.0,27.0,14573,CBIO
2024-07-05 04:00:00+00:00,27.0,27.0,26.0,27.0,27.0,9130,CBIO
2024-07-08 04:00:00+00:00,26.0,29.0,26.0,28.0,28.0,17899,CBIO
2024-07-09 04:00:00+00:00,28.0,28.0,27.0,27.0,27.0,5826,CBIO
2024-07-10 04:00:00+00:00,27.0,30.0,27.0,28.0,28.0,15111,CBIO
2024-07-11 04:00:00+00:00,28.0,31.0,28.0,29.0,29.0,11942,CBIO
2024-07-12 04:00:00+00:00,29.0,30.0,28.0,29.0,29.0,6570,CBIO
2024-07-15 04:00:00+00:00,29.0,32.0,28.0,31.0,31.0,13056,CBIO
2024-07-16 04:00:00+00:00,33.0,33.0,31.0,32.0,32.0,10466,CBIO
2024-07-17 04:00:00+00:00,32.0,32.0,30.0,30.0,30.0,8113,CBIO
2024-07-18 04:00:00+00:00,31.0,31.0,29.0,30.0,30.0,3399,CBIO
2024-07-19 04:00:00+00:00,29.0,30.0,28.0,28.0,28.0,4213,CBIO
2024-07-22 04:00:00+00:00,29.0,33.0,28.0,32.0,32.0,21288,CBIO
2024-07-23 04:00:00+00:00,32.0,32.0,28.0,31.0,31.0,7606,CBIO
2024-07-24 04:00:00+00:00,31.0,32.0,29.0,31.0,31.0,5265,CBIO
