symbol,company_name,ipo_date,price_range,shares_offered,exchange,type,source,form_type,cik
N/A,Cohen Circle Acquisition Corp. II  (CCII)  (CIK 0002064683),2025-06-25,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002064683
N/A,"OneMedNet Corp  (ONMD, ONMDW)  (CIK 0001849380)",2025-06-25,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001849380
N/A,Bimergen Energy Corp  (BESS)  (CIK 0001066764),2025-06-25,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001066764
N/A,"CoastalSouth Bancshares, Inc.  (COSO)  (CIK 0001297107)",2025-06-24,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001297107
N/A,"Jefferson Capital, Inc. / DE  (JCAP)  (CIK 0002046042)",2025-06-24,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002046042
N/A,"LIXTE BIOTECHNOLOGY HOLDINGS, INC.  (LIXT, LIXTW)  (CIK 0001335105)",2025-06-24,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001335105
N/A,DeFi Development Corp.  (DFDV)  (CIK 0001805526),2025-06-23,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001805526
N/A,"AMAZE HOLDINGS, INC.  (AMZE)  (CIK 0001880343)",2025-06-23,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001880343
N/A,"Australian Oilseeds Holdings Ltd  (COOT, COOTW)  (CIK 0001959994)",2025-06-23,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001959994
N/A,"Bally's Chicago, Inc.  (CIK 0001935799)",2025-06-23,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001935799
N/A,Indigo Acquisition Corp.  (INAC)  (CIK 0002063816),2025-06-23,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002063816
N/A,"AMERICAN REBEL HOLDINGS INC  (AREB, AREBW)  (CIK 0001648087)",2025-06-23,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001648087
N/A,"Momentus Inc.  (MNTS, MNTSW)  (CIK 0001781162)",2025-06-23,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001781162
N/A,EQV Ventures Acquisition Corp. II  (EVAC)  (CIK 0002042902),2025-06-23,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002042902
N/A,"XTI Aerospace, Inc.  (XTIA)  (CIK 0001529113)",2025-06-20,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001529113
N/A,"Nuburu, Inc.  (BURU, BURUW)  (CIK 0001814215)",2025-06-20,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001814215
N/A,"GCI Liberty, Inc.  (GLIBA)  (CIK 0002057463)",2025-06-20,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002057463
N/A,"PLUS THERAPEUTICS, INC.  (PSTV)  (CIK 0001095981)",2025-06-20,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001095981
N/A,"SeaStar Medical Holding Corp  (ICU, ICUCW)  (CIK 0001831868)",2025-06-20,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001831868
N/A,"Ontrak, Inc.  (OTRK, OTRKP)  (CIK 0001136174)",2025-06-20,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001136174
N/A,LightWave Acquisition Corp.  (LWAC)  (CIK 0002061379),2025-06-18,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002061379
N/A,"Lomond Therapeutics Holdings, Inc.  (CIK 0001900520)",2025-06-18,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001900520
N/A,"Nuvve Holding Corp.  (NVVE, NVVEW)  (CIK 0001836875)",2025-06-18,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001836875
N/A,"Classover Holdings, Inc.  (KIDZ, KIDZW)  (CIK 0002022308)",2025-06-18,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002022308
N/A,"Nukkleus Inc.  (NUKK, NUKKW)  (CIK 0001787518)",2025-06-18,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001787518
N/A,"Forward Industries, Inc.  (FORD)  (CIK 0000038264)",2025-06-17,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0000038264
N/A,"Cantor Equity Partners III, Inc.  (CIK 0002034268)",2025-06-17,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002034268
N/A,Oxley Bridge Acquisition Ltd  (OBA)  (CIK 0002034313),2025-06-17,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002034313
N/A,"USA Rare Earth, Inc.  (USAR, USARW)  (CIK 0001970622)",2025-06-17,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0001970622
N/A,Pioneer Acquisition I Corp  (PACH)  (CIK 0002040381),2025-06-16,N/A,N/A,N/A,IPO,sec_edgar,S-1/A,0002040381
