symbol,company_name,ipo_date,filing_date,price_range,shares_offered,exchange,type,source,form_type,cik,accession_number,file_description,business_address,sic_code,fiscal_year_end
SNNF,"Seneca Bancorp, Inc.  (SNNF)  (CIK 0002072421)",2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002072421,,S-1/A,N/A,,
N/A,Franklin Solana Trust  (CIK 0002057388),2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002057388,,,N/A,,
,Bitwise Solana ETF  (CIK 0002045872),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2045872,,AMENDMENT NO. 2 TO FORM S-1,,,
SOL,Grayscale Solana Trust (SOL)  (GSOL)  (CIK 0001896677),2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,S-1,0001896677,,S-1/A,N/A,,
N/A,Bitwise Solana ETF  (CIK 0002045872),2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002045872,,AMENDMENT NO. 2 TO FORM S-1,N/A,,
VTEK,VISTEK LTD  (VTEK)  (CIK 0002013100),2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002013100,,F-1/A,N/A,,
N/A,CHARMING WOW INC  (CIK 0002071350),2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,F-1,0002071350,,FORM F-1,N/A,,
YMT,Yimutian Inc.  (YMT)  (CIK 0001991605),2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,F-1,0001991605,,REGISTRATION STATEMENT,N/A,,
YMAT,"J-Star Holding Co., Ltd.  (YMAT)  (CIK 0001875016)",2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,424B4,0001875016,,424B4,N/A,,
WBUY,WEBUY GLOBAL LTD  (WBUY)  (CIK 0001946703),2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,424B4,0001946703,,PROSPECTUS,N/A,,
CYCC,"Cyclacel Pharmaceuticals, Inc.  (CYCC, CYCCP)  (CIK 0001130166)",2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,S-1,0001130166,,S-1/A,N/A,,
N/A,Evolution Global Acquisition Corp  (CIK 0002077954),2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002077954,,REGISTRATION STATEMENT,N/A,,
,CHARMING WOW INC  (CIK 0002071350),2025-07-31,2025-07-31,,,,IPO,sec_edgar,F-1,2071350,,FORM F-1,,,
N/A,Elventix Technology Corp  (CIK 0002076765),2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002076765,,FORM S-1,N/A,,
KOYN,"CSLM Digital Asset Acquisition Corp III, Ltd  (KOYN)  (CIK 0002068454)",2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002068454,,S-1/A,N/A,,
MOBQ,"Mobiquity Technologies, Inc.  (MOBQ, MOBQW)  (CIK 0001084267)",2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,S-1,0001084267,,AMENDMENT NO. 1,N/A,,
N/A,CoinShares Solana Staking ETF  (CIK 0002073298),2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002073298,,AMENDMENT TO FORM S-1,N/A,,
N/A,Canary Marinade Solana ETF  (CIK 0002041869),2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002041869,,AMENDMENT TO FORM S-1,N/A,,
SLRX,"Salarius Pharmaceuticals, Inc.  (SLRX)  (CIK 0001615219)",2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,S-1,0001615219,,S-1/A,N/A,,
N/A,VanEck Solana ETF  (CIK 0002028541),2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002028541,,S-1/A,N/A,,
N/A,Fidelity Solana Fund  (CIK 0002063380),2025-07-31,2025-07-31,N/A,N/A,N/A,IPO,sec_edgar,S-1,0002063380,,S-1/A,N/A,,
,CoinShares Solana Staking ETF  (CIK 0002073298),2025-07-31,2025-07-31,,,,IPO,sec_edgar,S-1,2073298,,AMENDMENT TO FORM S-1,,,
