legacy_path,current_path,disposition,target_family,target_module,encoding_status,algorithm_fidelity,high_end_target,gap_class,evidence_surfaces,notes
docs/archive/raw-sources/Reference/guitar/strategies-playbooks/qullamaggie-mean-reversion-playbook.md,docs/archive/raw-sources/Reference/guitar/strategies-playbooks/qullamaggie-mean-reversion-playbook.md,reference-only,qullamaggie,core-screening,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/guitar/strategies-playbooks/qullamaggie-mechanics.md,docs/archive/raw-sources/Reference/guitar/strategies-playbooks/qullamaggie-mechanics.md,reference-only,qullamaggie,core-screening,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/guitar/strategies-playbooks/risk-management.md,docs/archive/raw-sources/Reference/guitar/strategies-playbooks/risk-management.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/guitar/strategies-playbooks/super-growth-stocks.md,docs/archive/raw-sources/Reference/guitar/strategies-playbooks/super-growth-stocks.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/guitar/strategies-playbooks/trader-jesse-criteria.md,docs/archive/raw-sources/Reference/guitar/strategies-playbooks/trader-jesse-criteria.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/guitar/strategies-playbooks/traits-of-leading-stocks.md,docs/archive/raw-sources/Reference/guitar/strategies-playbooks/traits-of-leading-stocks.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/guitar/strategies-playbooks/trend-acceleration.md,docs/archive/raw-sources/Reference/guitar/strategies-playbooks/trend-acceleration.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/guitar/strategies-playbooks/use-of-moving-averages.md,docs/archive/raw-sources/Reference/guitar/strategies-playbooks/use-of-moving-averages.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/guitar/strategies-playbooks/why-traders-think-about-taxes-and-performance.md,docs/archive/raw-sources/Reference/guitar/strategies-playbooks/why-traders-think-about-taxes-and-performance.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/guitar/uptrend.md,docs/archive/raw-sources/Reference/guitar/uptrend.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/can refered dashboard example.md,docs/archive/raw-sources/Reference/indicator-dog/can refered dashboard example.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Compass/Compass.md,docs/archive/raw-sources/Reference/indicator-dog/Compass/Compass.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Trend following/1-1. Regular Buy.md,docs/archive/raw-sources/Reference/indicator-dog/Trend following/1-1. Regular Buy.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Trend following/1-2. Breakout.md,docs/archive/raw-sources/Reference/indicator-dog/Trend following/1-2. Breakout.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Trend following/1-3 Build-up.md,docs/archive/raw-sources/Reference/indicator-dog/Trend following/1-3 Build-up.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Trend following/1-4. aggressive.md,docs/archive/raw-sources/Reference/indicator-dog/Trend following/1-4. aggressive.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Trend following/2-1. market filter.md,docs/archive/raw-sources/Reference/indicator-dog/Trend following/2-1. market filter.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Trend following/2-2 partial exit.md,docs/archive/raw-sources/Reference/indicator-dog/Trend following/2-2 partial exit.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Trend following/2-3. Trailing Stop Loss.md,docs/archive/raw-sources/Reference/indicator-dog/Trend following/2-3. Trailing Stop Loss.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Trend following/2-4. R multiple TP.md,docs/archive/raw-sources/Reference/indicator-dog/Trend following/2-4. R multiple TP.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Trend following/3-1. Power Earnings Gap.md,docs/archive/raw-sources/Reference/indicator-dog/Trend following/3-1. Power Earnings Gap.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Trend following/3-2. Pyramiding.md,docs/archive/raw-sources/Reference/indicator-dog/Trend following/3-2. Pyramiding.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Trend following/3-3. momentum chasing.md,docs/archive/raw-sources/Reference/indicator-dog/Trend following/3-3. momentum chasing.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Trend following/4-1. Trend following cheat sheet.md,docs/archive/raw-sources/Reference/indicator-dog/Trend following/4-1. Trend following cheat sheet.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Trend following/4-2. Settings.md,docs/archive/raw-sources/Reference/indicator-dog/Trend following/4-2. Settings.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/1-1. introduction.md,docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/1-1. introduction.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/1-2. how-to-use.md,docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/1-2. how-to-use.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/1-3. dashboard.md,docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/1-3. dashboard.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/1-4. GP-engine.md,docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/1-4. GP-engine.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/1-5. sigma-engine.md,docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/1-5. sigma-engine.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/2-1. Trend-following.md,docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/2-1. Trend-following.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/2-2. pullback-strategy.md,docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/2-2. pullback-strategy.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/2-3. Squeeze Breakout.md,docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/2-3. Squeeze Breakout.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/3-1. validation.md,docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/3-1. validation.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/4-1. summary.md,docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/4-1. summary.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/4-2. settings.md,docs/archive/raw-sources/Reference/indicator-dog/Ultimate growth/4-2. settings.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/indicator-dog/Update/update.md,docs/archive/raw-sources/Reference/indicator-dog/Update/update.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/Jesse/char.of stock.md,docs/archive/raw-sources/Reference/Jesse/char.of stock.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/Jesse/imp. tip.md,docs/archive/raw-sources/Reference/Jesse/imp. tip.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/Jesse/judging momentum.md,docs/archive/raw-sources/Reference/Jesse/judging momentum.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/Jesse/momentum entry str.md,docs/archive/raw-sources/Reference/Jesse/momentum entry str.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/Jesse/positioning rule.md,docs/archive/raw-sources/Reference/Jesse/positioning rule.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/Jesse/rules when trading not working.md,docs/archive/raw-sources/Reference/Jesse/rules when trading not working.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/Jesse/Trading checklist.md,docs/archive/raw-sources/Reference/Jesse/Trading checklist.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
docs/archive/raw-sources/Reference/Jesse/다양한 청산규칙.md,docs/archive/raw-sources/Reference/Jesse/다양한 청산규칙.md,reference-only,pipeline-and-collection,task-runner-and-market-contracts,ok,reference-only,external-strategy-context,external-playbook,legacy-doc;stable-doc;code;tests,Reference material stays in place and does not override live runtime docs.
